Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,OBV
2012-04-25,302.302307,305.980988,301.74173,305.165161,305.165161,3638500.0,307.20178733333336,44.547646933969055,98252600.0
2012-04-26,305.760773,309.309296,305.155151,308.04303,308.04303,4180800.0,306.7267278333333,47.967332822597264,102433400.0
2012-04-27,307.81781,308.67868,305.605591,307.797791,307.797791,3269500.0,305.85168466666664,47.6973947802056,99163900.0
2012-04-30,306.801788,308.348358,300.605591,302.727722,302.727722,4809700.0,303.92642474999997,42.386636928433674,94354200.0
2012-05-01,302.197205,306.10611,300.395386,302.517517,302.517517,4000500.0,303.085167,42.176959844030065,90353700.0
2012-05-02,300.900909,304.359344,300.605591,303.933929,303.933929,3219700.0,303.13479875,44.18068321858156,93573400.0
2012-05-03,305.115112,307.722717,304.779785,305.815826,305.815826,3732200.0,303.19527691666667,46.81759587298103,97305600.0
2012-05-04,303.263275,304.249237,298.703705,298.783783,298.783783,4410300.0,302.75817366666666,39.33921950595157,92895300.0
2012-05-07,297.797791,305.590576,297.797791,304.079071,304.079071,3985000.0,303.102267,46.295848184095775,96880300.0
2012-05-08,303.068054,308.758759,300.650665,306.701691,306.701691,5349200.0,303.80004633333334,49.391450653070216,102229500.0
2012-05-09,303.713715,308.498505,301.206207,304.879883,304.879883,4652900.0,304.28177900000003,47.349683006655596,97576600.0
2012-05-10,306.786774,308.403412,305.42041,307.137146,307.137146,3068700.0,304.7985458333333,50.102020808365985,100645300.0
2012-05-11,305.480469,307.582581,302.687683,302.917908,302.917908,4194600.0,304.61127475,45.33178240444787,96450700.0
2012-05-14,300.690704,304.554565,300.590576,302.302307,302.302307,3645100.0,304.13288116666666,44.66360984092412,92805600.0
2012-05-15,302.977966,307.8078,302.177185,305.86087,305.86087,4199900.0,303.9714710833333,49.31443644867557,97005500.0
2012-05-16,309.289276,315.365356,308.27829,314.779785,314.779785,9660500.0,304.9758096666667,58.68646723788711,106666000.0
2012-05-17,317.232239,319.244232,310.925934,311.836823,311.836823,6700800.0,305.7524185,55.06814542302521,99965200.0
2012-05-18,312.862854,316.52652,298.648651,300.500488,300.500488,11935000.0,305.4662984166667,43.8522530064938,88030200.0
2012-05-21,300.555542,308.153168,300.300293,307.362366,307.362366,6144600.0,305.59517675,50.43307797384383,94174800.0
2012-05-22,307.027039,307.212219,298.298309,300.700714,300.700714,6097600.0,305.75492099999997,44.92771486638342,88077200.0
2012-05-23,301.126129,305.105103,298.858856,305.035034,305.035034,6349800.0,305.8345845833333,48.84078874603514,94427000.0
2012-05-24,304.884888,306.266266,299.734741,302.132141,302.132141,3778800.0,305.45378875,46.459801651863415,90648200.0
2012-05-25,300.800812,301.166168,294.434448,296.061066,296.061066,7156600.0,304.7188873333333,41.86330319341256,83491600.0
2012-05-29,298.203217,299.864868,294.454468,297.467468,297.467468,5206100.0,303.9130808333333,43.26366295146215,88697700.0
2012-05-30,294.374359,296.246246,292.057068,294.409424,294.409424,3809500.0,303.20404049999996,40.953718440069984,84888200.0
2012-05-31,294.654663,295.295288,289.789795,290.720734,290.720734,5930600.0,302.2389094166667,38.297511379590894,78957600.0
2012-06-01,286.181183,286.611603,284.459473,285.775787,285.775787,6109600.0,300.5651525,35.01851816855249,72848000.0
2012-06-04,285.395386,290.535522,285.290283,289.584595,289.584595,4860500.0,298.4655533333333,39.32749364382603,77708500.0
2012-06-05,288.013,289.35434,283.518524,285.490479,285.490479,4675100.0,296.27002466666664,36.52388659369048,73033400.0
2012-06-06,288.528534,291.276276,287.092102,290.575562,290.575562,4187400.0,295.4429475,42.04973406488694,77220800.0
2012-06-07,294.094086,294.239227,288.91391,289.404419,289.404419,3513400.0,293.9464519166667,41.16100156155807,73707400.0
2012-06-08,288.213226,290.790802,287.577576,290.515503,290.515503,2817900.0,293.09768433333335,42.404703969402235,76525300.0
2012-06-11,292.3974,292.952942,283.628632,284.534546,284.534546,5316800.0,291.38931033333336,37.775845834341155,71208500.0
2012-06-12,285.170166,285.435425,279.56958,282.832825,282.832825,6441900.0,289.78103400000003,36.55323561261187,64766600.0
2012-06-13,281.141144,283.783783,279.619629,280.825836,280.825836,3904400.0,288.5114315,35.109972117816966,60862200.0
2012-06-14,280.930939,282.81781,278.538544,279.80481,279.80481,4685100.0,287.0395433333333,34.36655544199026,56177100.0
2012-06-15,280.450439,282.542542,278.823822,282.537537,282.537537,5996300.0,286.05021941666666,38.141784696331996,62173400.0
2012-06-18,281.591583,287.392395,279.904907,285.710724,285.710724,4988800.0,285.6327185833333,42.29260296664066,67162200.0
2012-06-19,287.082092,292.432434,286.846832,291.056061,291.056061,4148200.0,286.0727414166667,48.55503875609971,71310400.0
2012-06-20,290.19519,290.290283,287.042053,289.044037,289.044037,4688700.0,286.02769491666663,46.50910064831738,66621700.0
2012-06-21,290.210205,290.210205,282.147156,282.887878,282.887878,4018500.0,285.8108115,40.83895560486917,62603200.0
2012-06-22,284.284271,286.026031,283.193207,286.026031,286.026031,4451300.0,285.4316839166667,44.55008486683612,67054500.0
2012-06-25,283.948944,284.329315,278.953949,280.630646,280.630646,3160000.0,284.7005361666666,39.914218681110256,63894500.0
2012-06-26,281.661652,283.583588,280.02002,282.62262,282.62262,2697600.0,284.04279591666665,42.301442928578304,66592100.0
2012-06-27,284.134125,287.282288,283.293304,284.934937,284.934937,3381200.0,284.0761618333333,45.031572189616796,69973300.0
2012-06-28,283.233246,283.398407,278.883881,282.437439,282.437439,3837900.0,284.043213,42.68242718169451,66135400.0
2012-06-29,287.767761,290.355347,286.386383,290.325317,290.325317,5033900.0,284.83483641666663,51.31985275597878,71169300.0
2012-07-02,291.201202,291.791779,288.538544,290.525513,290.525513,3307600.0,285.72822833333333,51.519536716809895,74476900.0
